Transect,Plot,Replicate,Date,Time,Observer,Sky,Wind,BirdNumber,Period,Minute,Species,Sex,DetectionMethod,Distance,NewRecord,CounterSing
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,1,1,1,REVI,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,2,1,1,BTBW,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,3,1,1,BLBW,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,4,1,1,OVEN,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,5,1,2,BLBW,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,6,1,3,BLBW,M,S,1,1,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,7,2,3,REVI,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,8,2,3,BTBW,M,S,2,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,9,2,3,BLBW,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,10,2,3,BLBW,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,11,2,4,BLBW,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,12,3,6,REVI,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,13,3,6,BLBW,M,S,1,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,14,3,6,BTBW,M,S,2,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,15,3,7,BTBW,M,S,2,0,0
810,314,0,5/22/2015,5:32:00 AM,CH,0,0,16,3,7,BLBW,M,S,2,0,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,1,1,1,BLBW,M,S,1,1,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,2,1,1,REVI,M,S,2,1,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,3,2,3,REVI,M,S,2,0,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,4,2,3,BTNW,M,S,2,1,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,5,2,5,BLBW,M,S,1,0,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,6,3,6,REVI,M,S,2,0,0
825,337,0,5/21/2015,5:51:00 AM,CH,0,0,7,3,9,BLBW,M,S,2,0,0
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,1,1,1,REVI,M,S,1,1,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,2,1,1,REVI,M,S,2,1,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,3,1,1,OVEN,M,S,2,1,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,4,1,1,OVEN,M,S,1,1,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,6,2,3,REVI,M,S,1,0,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,7,2,3,REVI,M,S,2,0,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,8,2,3,OVEN,M,S,2,0,0
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,10,2,4,REVI,M,S,2,1,0
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,11,3,7,REVI,M,S,1,0,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,12,3,7,REVI,M,S,2,0,1
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,13,3,7,OVEN,M,S,2,0,0
825,392,0,5/21/2015,6:10:00 AM,CH,0,0,14,3,9,BTNW,M,S,2,1,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,1,1,1,REVI,M,S,1,1,1
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,2,1,1,BTBW,M,S,2,1,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,3,1,1,OVEN,M,S,1,1,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,4,1,2,REVI,M,S,2,1,1
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,5,2,3,REVI,M,S,1,0,1
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,6,2,3,REVI,M,S,2,0,1
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,7,2,4,OVEN,M,S,1,1,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,9,2,5,BLBW,M,S,1,1,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,10,3,6,REVI,M,S,1,0,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,12,3,6,BLBW,M,S,1,0,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,13,3,6,REVI,M,S,2,0,0
825,393,0,5/21/2015,6:27:00 AM,CH,1,0,14,3,7,OVEN,M,S,2,0,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,1,1,1,BTNW,M,S,1,1,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,2,1,1,REVI,M,S,2,1,1
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,3,1,1,REVI,M,S,2,1,1
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,4,1,1,OVEN,M,S,2,1,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,5,1,2,BTNW,M,S,1,1,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,8,2,3,REVI,M,S,2,0,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,9,2,4,BTNW,M,S,1,0,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,10,2,5,OVEN,M,S,2,0,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,13,3,6,REVI,M,S,1,0,0
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,14,3,7,OVEN,M,S,2,0,1
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,15,3,7,OVEN,M,S,2,0,1
825,394,0,5/21/2015,6:48:00 AM,CH,1,0,16,3,8,BLBW,M,S,2,1,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,2,1,1,BLBW,M,S,2,1,1
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,3,1,1,BLBW,M,S,2,1,1
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,5,1,1,BTNW,M,S,2,1,1
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,6,1,2,OVEN,M,S,2,1,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,9,2,4,BTNW,M,S,2,0,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,11,2,5,BLBW,M,S,2,0,1
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,12,2,6,BLBW,M,S,1,0,1
