This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","ABEI"
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","AFTY"
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET","AGKO"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","AHTI"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET","ARAO"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","BANO"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET","BATO"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET","BEWO"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET","BKVO"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","BNDW"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","BOII"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","BRKO"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","CEDC"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET","CHAW"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","CHVO"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","CJDW"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","COVM"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","CRSM"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","CRVO"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","DEFO"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET","DENI"
"DRLM","DEER LODGE",-112.7667,46.3356,1426,"AGRIMET","DRLM"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET","DTRO"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","ECHO"
"EURN","EUREKA",-115.9786,39.6853,1797,"AGRIMET","EURN"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","FAFI"
"FALN","FALLON",-118.7769,39.4581,1209,"AGRIMET","FALN"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","FOGO"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","FTHI"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","GCDW"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","GDVI"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","GERW"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","GFRI"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","GOLW"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","HERO"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","HOXO"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","HRFO"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","HRHW"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","HRMO"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","IMBO"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","KFLO"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","KFLW"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","KTBI"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","LAKO"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","LBRW"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","LEGW"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","LIDW"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET","LORO"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","MALI"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","MASW"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","MDFO"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","MNTI"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","MRSO"
"NMPI","NAMPA",-116.6369,43.4417,803,"AGRIMET","NMPI"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","ODSW"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","OMAW"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","ONTO"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","PARO"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","PCYO"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","PICI"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","PMAI"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","PNGO"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","POBO"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","RDBM"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","RPTI"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET","RTHI"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","RXGI"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","SBMW"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","SIGM"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET","SILW"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","TWFI"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET","WRDO"
"CWEZ","SATURNA ISL",-123.0500,48.7800,7,"ASOS","CWEZ"
"CWFQ","FRELIGHSBURG",-72.8300,45.0500,152,"ASOS","CWFQ"
"CWIY","ST LEONARD A",-67.8200,47.1500,49,"ASOS","CWIY"
"CWJR","CRESTON (AUT",-116.5000,49.0800,646,"ASOS","CWJR"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","CWSS"
"CWVN","VAL MARIE SE",-107.5800,49.0700,785,"ASOS","CWVN"
"CWWK","WHITE ROCK A",-122.7800,49.0200,15,"ASOS","CWWK"
"CWYY","OSOYOOS (AUT",-119.4300,49.0300,283,"ASOS","CWYY"
"CXDB","DEL BONITA A",-112.8167,49.0500,1310,"ASOS","CXDB"
"CYAM","SAULT STE MA",-84.5200,46.4800,192,"ASOS","CYAM"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","CYXX"
"K04V","SAGUACHE MUN",-106.1686,38.0972,2385,"ASOS","K04V"
"K04W","FIELD OF DRE",-92.8953,46.0228,311,"ASOS","K04W"
"K06D","ROLLA MUNICI",-99.6208,48.8844,556,"ASOS","K06D"
"K08D","STANLEY MUNI",-102.4064,48.3008,684,"ASOS","K08D"
"K0A9","ELIZABETHTON",-82.1733,36.3711,486,"ASOS","K0A9"
"K0CO","BERTHOUD PAS",-105.7667,39.8000,4113,"ASOS","K0CO"
"K0E0","MORIARTY AIR",-106.0050,34.9822,1889,"ASOS","K0E0"
"K0F2","BOWIE MUNICI",-97.7756,33.6017,336,"ASOS","K0F2"
"K0J4","FLORALA MUNI",-86.3117,31.0425,96,"ASOS","K0J4"
"K0VG","LEE COUNTY A",-83.2178,36.6542,430,"ASOS","K0VG"
"K11R","BRENHAM_MUNI",-96.3742,30.2189,94,"ASOS","K11R"
"K12N","ANDOVER/AERO",-74.7367,41.0089,177,"ASOS","K12N"
"K14Y","TODD FIELD A",-94.8739,45.8983,406,"ASOS","K14Y"
"K1A5","MACON COUNTY",-83.4192,35.2225,616,"ASOS","K1A5"
"K1A6","MIDDLESBORO-",-83.7375,36.6106,352,"ASOS","K1A6"
"K1F0","ARDMORE DOWN",-97.1225,34.1469,257,"ASOS","K1F0"
"K1H2","EFFINGHAM",-88.5333,39.0706,179,"ASOS","K1H2"
"K1M4","POSEY FIELD",-87.6006,34.2803,283,"ASOS","K1M4"
"K1P1","PLYMOUTH MUN",-71.7536,43.7792,154,"ASOS","K1P1"
"K1V4","ST. JOHNSBUR",-72.0194,44.4194,212,"ASOS","K1V4"
"K20U","BEACH AIRPOR",-103.9819,46.9253,840,"ASOS","K20U"
"K20V","MC ELROY AIR",-106.3689,40.0536,2259,"ASOS","K20V"
"K21D","LAKE ELMO AI",-92.8556,44.9975,284,"ASOS","K21D"
"K2C8","CAVALIER MUN",-97.6319,48.7836,272,"ASOS","K2C8"
"K2DP","DARE COUNTY",-75.9000,35.6667,3,"ASOS","K2DP"
"K2G4","GARRETT COUN",-79.3394,39.5803,894,"ASOS","K2G4"
"K2WX","BUFFALO (AMO",-103.5464,45.6044,915,"ASOS","K2WX"
"K36U","HEBER, HEBER",-111.4289,40.4819,1718,"ASOS","K36U"
"K3J7","GREENE COUNT",-83.1389,33.5978,206,"ASOS","K3J7"
"K3LF","LITCHFIELD M",-89.6747,39.1625,210,"ASOS","K3LF"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS","K3T5"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS","K40B"
"K40J","PERRY-FOLEY",-83.5736,30.0719,13,"ASOS","K40J"
"K4A6","SCOTTSBORO M",-86.0058,34.6886,198,"ASOS","K4A6"
"K4A9","ISBELL FIELD",-85.7214,34.4736,267,"ASOS","K4A9"
"K4BM","WILKERSON PA",-105.5167,39.0500,3438,"ASOS","K4BM"
"K4I3","KNOX COUNTY",-82.5261,40.3289,363,"ASOS","K4I3"
"K4M9","CORNING MUNI",-90.6481,36.4042,89,"ASOS","K4M9"
"K4O4","MCCURTAIN CO",-94.8594,33.9094,144,"ASOS","K4O4"
"K5C1","BOERNE STAGE",-98.6947,29.7239,414,"ASOS","K5C1"
"K5SM","SUNLIGHT",-107.3833,39.4333,3232,"ASOS","K5SM"
"K6R3","CLEVELAND MU",-95.0081,30.3564,46,"ASOS","K6R3"
"K6R6","DRYDEN",-102.2131,30.0481,707,"ASOS","K6R6"
"K79J","ANDALUSIA/OP",-86.3833,31.3000,94,"ASOS","K79J"
"K7L2","LINTON MUNIC",-100.2456,46.2206,542,"ASOS","K7L2"
"K8A0","ALBERTVILLE",-86.2558,34.2292,315,"ASOS","K8A0"
"K8D3","SISSETON MUN",-96.9914,45.6689,354,"ASOS","K8D3"
"K96D","WALHALLA MUN",-97.9028,48.9406,290,"ASOS","K96D"
"K9D7","CANDO MUNICI",-99.2364,48.4800,451,"ASOS","K9D7"
"K9L2","EDWARDS AIR",-117.8631,34.9908,701,"ASOS","K9L2"
"K9V9","CHAMBERLAIN",-99.3183,43.7667,516,"ASOS","K9V9"
"KAAA","LINCOLN/LOGA",-89.3350,40.1586,182,"ASOS","KAAA"
"KAAF","APALACHICOLA",-85.0247,29.7269,6,"ASOS","KAAF"
"KAAO","COLONEL JAME",-97.2189,37.7497,432,"ASOS","KAAO"
"KAAT","ALTURAS (WAS",-120.5644,41.4914,1333,"ASOS","KAAT"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","KABE"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","KABI"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","KABQ"
"KABR","ABERDEEN REG",-98.4131,45.4433,396,"ASOS","KABR"
"KABY","ALBANY MUNIC",-84.1944,31.5356,60,"ASOS","KABY"
"KACB","BELLAIRE",-85.1983,44.9883,190,"ASOS","KACB"
"KACP","ALLEN PARISH",-92.6886,30.7506,33,"ASOS","KACP"
"KACQ","WASECA MUNI",-93.5531,44.0733,343,"ASOS","KACQ"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS","KACT"
"KACV","ARCATA/EUREK",-124.1086,40.9781,66,"ASOS","KACV"
"KACY","ATLANTIC CIT",-74.5867,39.4647,23,"ASOS","KACY"
"KADC","WADENA_MUNIC",-95.2117,46.4467,418,"ASOS","KADC"
"KADG","LENAWEE COUN",-84.0794,41.8678,244,"ASOS","KADG"
"KADH","ADA_MUNICIPA",-96.6714,34.8044,310,"ASOS","KADH"
"KADS","DALLAS/ADDIS",-96.8300,32.9700,196,"ASOS","KADS"
"KADU","AUDUBON",-94.9203,41.7011,392,"ASOS","KADU"
"KADW","ANDREWS AFB",-76.8700,38.8200,86,"ASOS","KADW"
"KAEG","ALBUQUERQUE/",-106.7950,35.1450,1779,"ASOS","KAEG"
"KAEJ","CENTRAL COLO",-106.1206,38.8142,2422,"ASOS","KAEJ"
"KAEL","ALBERT LEA (",-93.3700,43.6800,383,"ASOS","KAEL"
"KAEX","ALEXANDRIA I",-92.5586,31.3347,27,"ASOS","KAEX"
"KAFF","AIR FORCE AC",-104.8200,38.9700,2003,"ASOS","KAFF"
"KAFJ","WASHINGTON (",-80.2800,40.1300,361,"ASOS","KAFJ"
"KAFK","NEBRASKA CIT",-95.8658,40.6069,354,"ASOS","KAFK"
"KAFN","JAFFREY MUNI",-72.0006,42.8058,317,"ASOS","KAFN"
"KAFP","ANSON COUNTY",-80.0772,35.0206,91,"ASOS","KAFP"
"KAFW","FORT WORTH/A",-97.3181,32.9733,220,"ASOS","KAFW"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS","KAGC"
"KAGS","AUGUSTA/BUSH",-81.9633,33.3644,44,"ASOS","KAGS"
"KAHN","ATHENS MUNIC",-83.3281,33.9508,246,"ASOS","KAHN"
"KAIA","ALLIANCE MUN",-102.8000,42.0572,1197,"ASOS","KAIA"
"KAIG","ANTIGO",-89.1400,45.0300,464,"ASOS","KAIG"
"KAIK","AIKEN MUNICI",-81.6850,33.6494,161,"ASOS","KAIK"
"KAIO","ATLANTIC",-95.0500,41.4000,360,"ASOS","KAIO"
"KAIT","AITKIN NDB(A",-93.6800,46.5500,367,"ASOS","KAIT"
"KAIZ","KAISER MEM (",-92.5500,38.1000,265,"ASOS","KAIZ"
"KAJG","MOUNT CARMEL",-87.7267,38.6067,131,"ASOS","KAJG"
"KAJO","CORONA MUNIC",-117.6025,33.8978,162,"ASOS","KAJO"
"KAKH","GASTONIA",-81.1558,35.1967,243,"ASOS","KAKH"
"KAKO","AKRON/WASHIN",-103.2144,40.1744,1431,"ASOS","KAKO"
"KAKQ","WAKEFIELD (N",-77.0011,36.9814,34,"ASOS","KAKQ"
"KAKR","AKRON FULTON",-81.4642,41.0375,325,"ASOS","KAKR"
"KALB","ALBANY COUNT",-73.7989,42.7467,86,"ASOS","KALB"
"KALI","ALICE INTL A",-98.0269,27.7411,54,"ASOS","KALI"
"KALK","PIONEER AIRF",-110.4333,31.6000,1453,"ASOS","KALK"
"KALM","ALAMOGORDO-W",-105.9800,32.8300,1279,"ASOS","KALM"
"KALN","ALTON/ST LOU",-90.0500,38.9000,166,"ASOS","KALN"
"KALO","WATERLOO MUN",-92.4011,42.5544,266,"ASOS","KALO"
"KALS","ALAMOSA MUNI",-105.8614,37.4389,2297,"ASOS","KALS"
"KALW","WALLA WALLA",-118.2842,46.0950,367,"ASOS","KALW"
"KALX","THOMAS C RUS",-85.9631,32.9147,209,"ASOS","KALX"
"KAMA","AMARILLO ARP",-101.7172,35.2200,1099,"ASOS","KAMA"
"KAMG","ALMA/BACON C",-82.5067,31.5361,61,"ASOS","KAMG"
"KAMN","ALMA",-84.6878,43.3219,229,"ASOS","KAMN"
"KAMW","AMES MUNICIP",-93.6189,41.9906,288,"ASOS","KAMW"
"KANB","ANNISTON/CAL",-85.8475,33.5906,186,"ASOS","KANB"
"KAND","ANDERSON CO",-82.7097,34.4978,238,"ASOS","KAND"
"KANE","MINNEAPOLIS/",-93.2200,45.1500,278,"ASOS","KANE"
"KANJ","SAULT STE MA",-84.3572,46.4794,210,"ASOS","KANJ"
"KANK","HARRIET ALEX",-106.0486,38.5383,2293,"ASOS","KANK"
"KANW","AINSWORTH MU",-100.0000,42.5800,789,"ASOS","KANW"
"KAOH","LIMA",-84.0214,40.7081,297,"ASOS","KAOH"
"KAOO","ALTOONA/BLAI",-78.3169,40.3000,458,"ASOS","KAOO"
"KAPA","DENVER/CENTE",-104.8483,39.5639,1793,"ASOS","KAPA"
"KAPC","NAPA CO. AIR",-122.2794,38.2075,10,"ASOS","KAPC"
"KAPF","NAPLES MUNIC",-81.7700,26.1500,3,"ASOS","KAPF"
"KAPN","ALPENA CO. R",-83.5644,45.0717,210,"ASOS","KAPN"
"KAPY","ZAPATA COUNT",-99.2489,26.9689,129,"ASOS","KAPY"
