"","X","site","band.no","year","species","date","age","sex","fat","wing","dd","day"
"1",1,"JOB","2630-01098",2012,"AMRE","2012-04-17","ASY","F",2,60,-44.59,22
"2",2,"JOB","2630-01132",2012,"AMRE","2012-04-27","SY","M",3,60,-150.92,32
"3",3,"JOB","2630-01133",2012,"AMRE","2012-04-27","ASY","M",2,62,-49.41,32
"4",4,"JOB","2630-01135",2012,"AMRE","2012-04-29","ASY","M",4,62,-156.23,34
"5",5,"JOB","2630-01136",2012,"AMRE","2012-04-29","ASY","M",4,62.5,-90.13,34
"6",6,"JOB","2630-01143",2012,"AMRE","2012-05-02","ASY","M",2,62,-95.41,37
"7",7,"JOB","2630-01146",2012,"AMRE","2012-05-02","SY","F",1,59,-141.13,37
"8",8,"JOB","2630-01154",2012,"AMRE","2012-05-08","ASY","M",2,62,-147.95,43
"9",9,"JOB","2630-01155",2012,"AMRE","2012-05-08","SY","M",1,58.5,-93.59,43
"10",10,"JOB","2630-01198",2012,"AMRE","2012-05-09","SY","F",1,60.5,-38.9,44
"11",11,"JOB","2630-01054",2012,"AMRE","2012-04-07","ASY","M",1,61,-60.3,12
"12",12,"JOB","2630-01054",2012,"AMRE","2012-04-07","ASY","M",1,61,-57.97,12
"13",13,"JOB","2630-01055",2012,"AMRE","2012-04-07","ASY","M",1,64,-49.51,12
"14",14,"JOB","2630-01199",2012,"AMRE","2012-05-09","ASY","M",1,62,-92.64,44
"15",15,"JOB","2630-01238",2012,"AMRE","2012-05-10","SY","F",1,55.5,-134.91,45
"16",16,"JOB","2630-01258",2012,"AMRE","2012-05-12","SY","M",1,61.5,-153.96,47
"17",17,"JOB","2630-01061",2012,"AMRE","2012-04-08","ASY","M",1,64,-54.08,13
"18",18,"JOB","2630-01062",2012,"AMRE","2012-04-08","ASY","M",1,61,-56.26,13
"19",19,"JOB","2630-01068",2012,"AMRE","2012-04-09","ASY","M",1,64,-59.99,14
"20",20,"JOB","2630-01085",2012,"AMRE","2012-04-10","ASY","M",1,62.5,-64.72,15
"21",21,"JOB","2630-01091",2012,"AMRE","2012-04-13","ASY","F",2,60,-39.08,18
"22",22,"JOB","2630-01095",2012,"AMRE","2012-04-16","ASY","M",2,65,-48.45,21
"23",23,"JOB","2630-01096",2012,"AMRE","2012-04-16","AHY","U",3,58,-54.53,21
"24",24,"MAD","2570-44843",2012,"AMRE","2012-05-09","SY","M",1,54,-130.75,44
"25",25,"MAD","2620-74919",2012,"AMRE","2012-04-16","ASY","F",3,60,-43.82,21
"26",26,"MAD","2620-74920",2012,"AMRE","2012-04-16","ASY","F",2,60,-47.63,21
"27",27,"MAD","2620-74954",2012,"AMRE","2012-04-23","ASY","M",1,61,-48.6,28
"28",28,"MAD","2620-74954",2012,"AMRE","2012-04-23","ASY","M",1,61,-53.27,28
"29",29,"MAD","2620-74955",2012,"AMRE","2012-04-23","ASY","M",1,64,-56.85,28
"30",30,"MAD","2620-74979",2012,"AMRE","2012-05-08","SY","M",1,63,-87.34,43
"31",31,"MAD","2620-74986",2012,"AMRE","2012-05-08","ASY","M",0,63,-93.96,43
"32",32,"MAD","2620-74988",2012,"AMRE","2012-05-09","ASY","F",1,59,-114.6,44
"33",33,"APP","263013210",2013,"AMRE","2013-04-22","SY","F",1,58,-40.94,21
"34",34,"APP","263013214",2013,"AMRE","2013-05-01","ASY","F",1,59,-55.17,30
"35",35,"APP","263013214",2013,"AMRE","2013-05-01","ASY","F",1,59,-53.85,30
"36",36,"APP","263013219",2013,"AMRE","2013-05-09","SY","F",0,59,-58.74,38
"37",37,"APP","263013220",2013,"AMRE","2013-05-10","SY","M",1,63,-68.68,39
"38",38,"JOB","2630-24143",2013,"AMRE","2013-04-09","ASY","M",2,63,-42.17,8
"39",39,"JOB","2630-24146",2013,"AMRE","2013-04-14","ASY","M",2,64,-39.22,13
"40",40,"JOB","2630-24152",2013,"AMRE","2013-04-16","ASY","M",1,64,-46.16,15
"41",41,"JOB","2630-24153",2013,"AMRE","2013-04-16","ASY","M",1,61,-58.66,15
"42",42,"JOB","2630-24167",2013,"AMRE","2013-04-16","ASY","M",2,62,-45.17,15
"43",43,"JOB","2630-24265",2013,"AMRE","2013-04-23","ASY","F",2,60,-41.22,22
"44",44,"MAD","2530-12171",2013,"AMRE","2013-04-18","SY","F",1,60,-52.31,17
"45",45,"MAD","2530-12183",2013,"AMRE","2013-04-21","ASY","F",0,61,-51.19,20
"46",46,"MAD","2530-12189",2013,"AMRE","2013-04-25","SY","M",0,59,-41.17,24
"47",47,"MAD","2570-44042",2013,"AMRE","2013-04-25","ASY","M",0,65,-59.66,24
"48",48,"MAD","2570-44054",2013,"AMRE","2013-04-25","SY","F",1,60,-52.57,24
"49",49,"MAD","2620-74695",2013,"AMRE","2013-05-01","ASY","F",0,58,-54.23,30
"50",50,"MAD","2620-74816",2013,"AMRE","2013-05-04","SY","M",0,62,-123.51,33
"51",51,"MAD","2620-74875",2013,"AMRE","2013-05-07","ASY","M",0,65,-112.13,36
"52",52,"MAD","2620-74899",2013,"AMRE","2013-05-07","SY","M",0,59,-123.36,36
"53",53,"MAD","2670-12330",2013,"AMRE","2013-05-09","SY","F",1,57,-101.98,38
"54",54,"MAD","2670-12331",2013,"AMRE","2013-05-09","ASY","F",0,59,-135.61,38
"55",55,"MAD","2670-12337",2013,"AMRE","2013-05-10","ASY","M",3,61,-115.69,39
"56",56,"MAD","2670-12338",2013,"AMRE","2013-05-10","ASY","M",0,63,-129.17,39
"57",57,"MAD","2670-12345",2013,"AMRE","2013-05-10","SY","F",0,57,-134.01,39
"58",58,"MAD","2670-12346",2013,"AMRE","2013-05-10","ASY","M",0,62,-113.16,39
"59",59,"MAD","2670-12346",2013,"AMRE","2013-05-10","ASY","M",0,62,-114.02,39
"60",60,"MAD","2670-12356",2013,"AMRE","2013-05-10","SY","F",0,57,-100.43,39
"61",61,"MAD","2670-12358",2013,"AMRE","2013-05-10","SY","M",1,59,-133.76,39
"62",62,"MAD","2530-12137",2013,"AMRE","2013-04-02","ASY","M",0,63,-44.18,1
"63",63,"APP","268013209",2014,"AMRE","2014-04-15","ASY","M",2,63,-59.49,21
"64",64,"APP","268013209",2014,"AMRE","2014-04-15","ASY","M",2,63,-58.83,21
"65",65,"APP","268013210",2014,"AMRE","2014-04-16","ASY","F",0,60,-51.06,22
"66",66,"APP","268013216",2014,"AMRE","2014-04-19","ASY","M",1,65,-55.53,25
"67",67,"APP","268013216",2014,"AMRE","2014-04-19","ASY","M",1,65,-53.08,25
"68",68,"APP","268013218",2014,"AMRE","2014-04-19","ASY","F",0,60,-56.37,25
"69",69,"APP","268013219",2014,"AMRE","2014-04-20","ASY","M",0,63,-66.09,26
"70",70,"APP","268013219",2014,"AMRE","2014-04-20","ASY","M",0,63,-65.8,26
"71",71,"APP","268013228",2014,"AMRE","2014-04-20","SY","M",0,60,-55.69,26
"72",72,"APP","268013235",2014,"AMRE","2014-04-23","ASY","M",0,61,-46.98,29
"73",73,"APP","268013237",2014,"AMRE","2014-04-23","ASY","M",0,63,-149.57,29
"74",74,"APP","268013237",2014,"AMRE","2014-04-23","ASY","M",0,63,-152.82,29
"75",75,"APP","268013239",2014,"AMRE","2014-04-30","SY","M",0,61,-92.2,36
"76",76,"APP","268013241",2014,"AMRE","2014-05-03","ASY","M",0,64,-98.31,39
"77",77,"APP","268013244",2014,"AMRE","2014-05-09","ASY","F",0,61,-85.57,45
"78",78,"APP","268013245",2014,"AMRE","2014-05-09","AHY","M",1,52,-107.38,45
"79",79,"APP","268013245",2014,"AMRE","2014-05-09","AHY","M",1,52,-109.36,45
"80",80,"JOB","263024810",2014,"AMRE","2014-04-06","ASY","M",1,63.5,-55.71,12
"81",81,"JOB","263024810",2014,"AMRE","2014-04-06","ASY","M",1,63.5,-54.52,12
"82",82,"JOB","263024813",2014,"AMRE","2014-04-06","ASY","M",1,65,-58.39,12
"83",83,"JOB","263024817",2014,"AMRE","2014-04-06","ASY","M",1,64,-59.96,12
"84",84,"JOB","263024817",2014,"AMRE","2014-04-06","ASY","M",1,64,-59.88,12
"85",85,"JOB","263024842",2014,"AMRE","2014-04-13","ASY","M",1,62.5,-68.44,19
"86",86,"JOB","263024860",2014,"AMRE","2014-04-19","ASY","F",1,60,-63.07,25
"87",87,"JOB","263024862",2014,"AMRE","2014-04-20","ASY","F",2,60.5,-57.93,26
