band_num,band_age,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,obs,Color Band,d_banded,tars,mass,wing,sex,fm_site,species
244113737,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,rt,4,"pk/a,y",7/5/09,22.52,21.3,65,M,Wiser,SOSP
241137304,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,rt,4,"a/pk,pk",5/22/09,27.56,35.9,86,M,Barnes,GRCA
226138348,AHY,.,.,.,.,.,.,.,b,.,rt,rc,.,rt,6,"bu,w/a",7/27/07,21.145,22.4,65,M,Assmann,SOSP
246022953,AHY,.,.,.,.,.,.,.,.,b,b,rc,.,rt,5,"a/o,r",6/20/08,16.64666667,10.06666667,62.5,M,Beal,CACH
259083174,HY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"o,bk/a",7/13/10,15.72,10.1,60,U,Hamill,CACH
242111549,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"a/bk,r",7/13/10,23.87,38.8,92,M,Beal,NOCA
242111751,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"pu,a/y",6/25/10,25.94,43.3,93,M,Brown-Annapolis,NOCA
244196416,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"w/a,r",6/18/10,21.42,21,62,M,Myers,SOSP
259083138,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"Bu,R/a",6/16/10,17.32,10.5,52,M,Marra-New,HOWR
242111709,AHY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"bu/a,w",6/5/10,27.73,35.3,92.5,M,Stewart,GRCA
230156981,ASY,.,.,.,.,.,.,.,.,.,.,b,.,rt,3,"P/A,Bk",5/20/10,27.73,35.2,93,M,Baines,GRCA
234130001,AHY,.,.,.,.,.,.,.,.,b,rc,.,.,rt,5,"PK/O, AL",6/2/08,21.915,23.35,61.5,F,Wiser,SOSP
241137244,AHY,.,.,.,.,.,.,.,.,.,b,.,.,rt,4,"pk/a,bk",5/29/09,26.55,34.1,83,M,"Campbell, R.",GRCA
199146121,AHY,.,.,.,.,.,.,.,b,.,.,.,.,rt,6,"R,A/O",5/23/07,24.4,44.6,91,M,"Campbell, R.",NOCA
259082407,AHY,.,.,.,.,.,.,.,.,.,b,rprt,rp,rp,4,"pk,a",5/30/09,15.77,9.3,59.5,F,Gecan,CACH
244114108,AHY,.,.,.,.,.,.,.,.,.,b,rprt,rp,rp,4,"PK,A",5/30/09,,19.8,63,M,Gecan,SOSP
244114203,AHY,.,.,.,.,.,.,.,.,.,b,rprc,rp,rp,4,"a/r,bu",6/23/09,21.495,20.35,61.25,M,Vongsathorn,CARW
199121138,AHY,.,.,.,.,.,.,.,b,rprt,rc,rp,rp,rp,6,"o,w/a",7/2/07,24.625,42.05,91.5,F,Newberry,NOCA
243029212,AHY,.,.,.,.,.,b,.,rt,rp,.,rp,rp,rp,8,"a,r/w",5/30/05,16.3,10,63,M,Frey,CACH
225180364,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"w/a,y",7/2/10,21.6,20.4,68,M,Gecan,SOSP
259082499,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"r,a/o",6/19/10,16.345,10.05,60,M,Newberry,CACH
242111431,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"y/a,g",6/19/10,24.74,39.5,93,M,Newberry,NOCA
230156996,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"bu/a,y",5/29/10,23.43,42.1,90,F,Buising,NOCA
241137989,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"bu/a,bu",5/10/10,26.83,40.3,84,M,Vongsathorn,GRCA
241137988,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,rp,3,"bk/w,a",5/10/10,24.15,42.6,93,M,Vongsathorn,NOCA
