"site","species","count","foraging","diet"
1,"amcr",2,"ground","omnivore"
1,"cach",1,"foliage","insectivore"
1,"carw",1,"ground","insectivore"
1,"dowo",1,"bark","insectivore"
1,"eato",2,"ground","omnivore"
1,"howr",1,"ground","insectivore"
1,"noca",3,"ground","omnivore"
2,"amgo",1,"foliage","granivore"
2,"amro",1,"ground","omnivore"
2,"grca",1,"ground","omnivore"
2,"noca",2,"ground","omnivore"
2,"sosp",1,"ground","omnivore"
2,"wbnu",1,"bark","insectivore"
3,"amro",2,"ground","omnivore"
3,"grca",1,"ground","omnivore"
3,"hofi",1,"ground","granivore"
3,"howr",3,"ground","insectivore"
3,"modo",1,"ground","granivore"
3,"noca",5,"ground","omnivore"
3,"sosp",4,"ground","omnivore"
4,"amro",4,"ground","omnivore"
4,"blja",3,"ground","omnivore"
4,"carw",1,"ground","insectivore"
4,"howr",1,"ground","insectivore"
4,"modo",2,"ground","granivore"
4,"noca",2,"ground","omnivore"
4,"piwo",1,"bark","insectivore"
4,"revi",1,"foliage","insectivore"
4,"tuti",2,"foliage","insectivore"
4,"wbnu",1,"bark","insectivore"
5,"cach",2,"foliage","insectivore"
5,"carw",1,"ground","insectivore"
5,"cedw",2,"foliage","omnivore"
5,"cogr",1,"ground","omnivore"
5,"howr",3,"ground","insectivore"
5,"noca",3,"ground","omnivore"
6,"amro",3,"ground","omnivore"
6,"blja",1,"ground","omnivore"
6,"cach",2,"foliage","insectivore"
6,"carw",1,"ground","insectivore"
6,"cogr",1,"ground","omnivore"
6,"grca",1,"ground","omnivore"
6,"howr",1,"ground","insectivore"
6,"modo",1,"ground","granivore"
6,"noca",3,"ground","omnivore"
6,"tuti",1,"foliage","insectivore"
7,"amgo",1,"foliage","granivore"
7,"carw",1,"ground","insectivore"
7,"dowo",1,"bark","insectivore"
7,"eawp",1,"aerial","insectivore"
7,"hofi",2,"ground","granivore"
7,"noca",3,"ground","omnivore"
8,"amro",1,"ground","omnivore"
8,"blja",1,"ground","omnivore"
8,"carw",1,"ground","insectivore"
8,"noca",1,"ground","omnivore"
9,"amro",1,"ground","omnivore"
9,"blja",1,"ground","omnivore"
9,"cogr",2,"ground","omnivore"
9,"grca",1,"ground","omnivore"
9,"howr",4,"ground","insectivore"
9,"modo",1,"ground","granivore"
9,"noca",2,"ground","omnivore"
9,"rbwo",1,"bark","omnivore"
9,"ysfl",1,"ground","insectivore"
10,"amro",3,"ground","omnivore"
10,"bhco",2,"ground","omnivore"
10,"cach",3,"foliage","insectivore"
10,"cogr",1,"ground","omnivore"
10,"grca",3,"ground","omnivore"
10,"hofi",3,"ground","granivore"
10,"howr",1,"ground","insectivore"
10,"sosp",1,"ground","omnivore"
10,"tuti",1,"foliage","insectivore"
11,"amro",3,"ground","omnivore"
11,"cach",2,"foliage","insectivore"
11,"grca",3,"ground","omnivore"
11,"hofi",1,"ground","granivore"
11,"noca",2,"ground","omnivore"
11,"rbwo",1,"bark","omnivore"
11,"sosp",1,"ground","omnivore"
11,"tuti",1,"foliage","insectivore"
12,"amcr",1,"ground","omnivore"
12,"amro",1,"ground","omnivore"
12,"cogr",3,"ground","omnivore"
12,"grca",5,"ground","omnivore"
12,"modo",1,"ground","granivore"
12,"noca",3,"ground","omnivore"
13,"amro",3,"ground","omnivore"
13,"grca",1,"ground","omnivore"
13,"noca",2,"ground","omnivore"
13,"sosp",1,"ground","omnivore"
14,"cach",1,"foliage","insectivore"
14,"howr",3,"ground","insectivore"
14,"noca",3,"ground","omnivore"
